PMACC,PMAYEAR,COUNTY,GPSLONG,GPSLAT,EA_ID,DATUM,SURVEY
KE,2019,1. BUNGOMA,34.79688697,0.650089556,404111022,WGS84,PMA
KE,2019,3. KIAMBU,36.7452738,-0.931502692,404131023,WGS84,PMA
KE,2019,9. SIAYA,34.36557071,0.001801452,404191021,WGS84,PMA
KE,2019,7. NANDI,35.02131023,0.037486978,404171004,WGS84,PMA
KE,2019,7. NANDI,35.04933916,0.509904016,404171029,WGS84,PMA
KE,2019,10. KAKAMEGA,34.63806733,0.345400905,404201004,WGS84,PMA
KE,2019,8. NYAMIRA,35.07265234,-0.782010791,404181001,WGS84,PMA
KE,2019,1. BUNGOMA,34.71852726,0.784334499,404111006,WGS84,PMA
KE,2019,3. KIAMBU,36.76543565,-1.100003904,404131021,WGS84,PMA
KE,2019,2. KERICHO,35.17580941,-0.347778851,404121018,WGS84,PMA
KE,2019,8. NYAMIRA,34.83754469,-0.651160755,404181016,WGS84,PMA
KE,2019,2. KERICHO,35.18087166,-0.600046984,404121020,WGS84,PMA
KE,2019,3. KIAMBU,36.82213831,-0.920143526,404131012,WGS84,PMA
KE,2019,1. BUNGOMA,34.46067011,0.716148043,404111008,WGS84,PMA
KE,2019,5. KITUI,38.10395573,-0.923560912,404151012,WGS84,PMA
KE,2019,6. NAIROBI,36.89901064,-1.30334331,404161001,WGS84,PMA
KE,2019,1. BUNGOMA,34.57645431,0.562982964,404111002,WGS84,PMA
KE,2019,5. KITUI,38.01041383,-1.353411534,404151021,WGS84,PMA
KE,2019,7. NANDI,35.18233607,0.400595601,404171035,WGS84,PMA
KE,2019,4. KILIFI,39.5088097,-3.5533095,404141021,WGS84,PMA
KE,2019,7. NANDI,35.1445165,0.002859146,404171014,WGS84,PMA
KE,2019,7. NANDI,34.9630177,0.115904774,404171003,WGS84,PMA
KE,2019,5. KITUI,38.09680724,-1.282771632,404151016,WGS84,PMA
KE,2019,7. NANDI,34.97532556,0.037890384,404171025,WGS84,PMA
KE,2019,5. KITUI,38.09794722,-1.593954973,404151023,WGS84,PMA
KE,2019,1. BUNGOMA,34.4426792,0.675312315,404111007,WGS84,PMA
KE,2019,9. SIAYA,34.0747527,-0.057853868,404191016,WGS84,PMA
KE,2019,4. KILIFI,40.1238248,-3.162639181,404141006,WGS84,PMA
